SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
994-02#,Sombra Anylady 15 tonos #2, 48.00,0.0, 40.00,VB,Inactive,2027-03-01,Maquillaje,Sombra,12
994-01#,Sombra Anylady 15 tonos #1, 48.00,12.0, 40.00,VB,Active,2027-06-01,Maquillaje,Sombra,12
S29-001,Brocha Para Maquillaje Set 7 Pzas Stay, 59.00,120.0, 50.00,Stay,Active,2029-01-01,Maquillaje,Brochas para maquillar,12
2324,Base Beauty City Matte Aprueba de agua, 62.00,0.0, 52.00,VB,Inactive,2026-10-01,Maquillaje,Base de maquillaje,24
2075,Base Beauty City BB cream, 62.00,95.0, 52.00,VB,Active,2027-10-01,Maquillaje,Base de maquillaje,24
161-015,Cosmetiquera #015, 53.00,129.0, 45.00,VB,Active,2029-01-01,Maquillaje,Cosmetiquera,12
5513,Lápiz Labial CHANLANYA Matte 5513, 15.00,624.0, 12.00,VB,Active,2027-01-01,Maquillaje,Labios,24
5360,Lápiz Labial CHANLANYA Matte 5360, 15.00,264.0, 12.00,VB,Active,2026-01-01,Maquillaje,Labios,24
5338,Lápiz Labial CHANLANYA Matte 5338, 15.00,456.0, 12.00,VB,Active,2026-01-01,Maquillaje,Labios,24
5323,Lápiz Labial Huda Beauty Matte 5323, 15.00,41.0, 12.00,VB,Active,2026-01-01,Maquillaje,Labios,24
30640,Esponja De Silicona Delicate, 18.00,336.0, 15.00,Mayz,Active,2029-01-01,Maquillaje,Esponjas de maquillaje,24
006-003493-2,Acondicionador Vinilady Liso Intenso, 99.00,76.0, 90.00,Mayz,Active,2025-03-01,Cuidado personal,Acondicionador capilar,12
006-003830-0,Crema Peinar Vinilady Aguacate (Super Boom) 300ml, 68.00,356.0, 57.00,Mayz,Active,2026-01-01,Cuidado personal,Crema capilar,24
006-003893-8,Champú Vinilady 325ml Vinilady Ondas Y Rizos, 68.00,0.0, 57.00,Mayz,Inactive,2026-01-01,Cuidado personal,Shampoo capilar,12
006-004092-4,Crema Peinar Vinilady Reparación Total 290, 68.00,293.0, 57.00,Mayz,Active,2025-10-01,Cuidado personal,Crema capilar,24
006-004086-0,Champú Vinilady 325ml Vinilady Reparación Total, 68.00,0.0, 57.00,Mayz,Inactive,2025-10-01,Cuidado personal,Shampoo capilar,12
006-004049-5,Champú Vinilady 325ml Vinilady Negro Absoluto, 68.00,2.0, 57.00,Mayz,Inactive,2026-01-01,Cuidado personal,Shampoo capilar,12
006-004027-4,Champú Vinilady 325ml Vinilady Liso Intenso, 68.00,0.0, 57.00,Mayz,Inactive,2026-01-01,Cuidado personal,Shampoo capilar,12
006-128713,Espuma P/Afeitar Majix 200ml Cool, 50.00,461.0, 42.00,Mayz,Active,2026-12-01,Cuidado personal,Espuma para afeitar,24
006-132581,Espuma para Afeitar Janti 200ml Sensitive, 40.00,165.0, 34.00,Mayz,Active,2026-11-01,Cuidado personal,Espuma para afeitar,24
006-C04,Shampoo Miya para Niños 12oz 2 En 1, 45.00,5231.0, 42.00,Mayz,Active,2025-03-01,Cuidado personal,Shampoo capilar,24
006-WKL258,Gel Para Ducha 550ml Lanolin Wokali, 70.00,20.0, 63.00,Mayz,Active,2025-03-01,Cuidado personal,Gel de ducha,6
006-WKL176,Gel Para Ducha 550ml Bamboo Wokali, 70.00,115.0, 63.00,Mayz,Active,2024-10-01,Cuidado personal,Gel de ducha,6
006-132574,Espuma P/Afeitar Janti 200ml regular, 40.00,212.0, 34.00,Mayz,Active,2026-11-01,Cuidado personal,Espuma para afeitar,24
1721N-B,Polvo Compacto Note Worthy 1721N-B, 29.00,660.0, 24.00,VB,Active,2027-12-01,Maquillaje,Polvo compacto,12
18-313,Esponja Para Cocina 5pcs 18-313, 16.00,142.0, 14.00,Stay,Active,2029-01-01,Maquillaje,Esponjas de maquillaje,5
