ITEM_ID,SKU (Código de artículo),Nombre,Existencias a mano,Tarifa de compra,Tasa,Fecha de vencimiento,Fabricante
5467547000000338293,006-M1648,Mascarilla Hidroplastica Facial Tea Tree 120g,561,NIO44.00,NIO49.00,01 dic 2025,Mayz
5467547000000342561,S26-004,Navaja De Belleza 2 En 1,636,NIO20.00,NIO22.47,01 ene 2029,Stay
5467547000000323937,S37-0884,Pala para Pedicure Madera Stay,169,NIO21.00,NIO23.60,01 ene 2029,Stay
5467547000000342367,S2-0063,Pala Para Pedicure Plastica,149,NIO19.00,NIO22.35,01 ene 2029,Stay
5467547000000342464,S2-0066,Pala Para pies Metalica Stay,341,NIO17.00,NIO20.00,01 ene 2029,Stay
5467547000000288136,OTS068,Paleta Blush Overture,192,NIO46.12,NIO58.00,01 nov 2027,BISUTERIA
5467547000000286293,8658FF,"Paleta Sombra, Blush e Iluminador Anylady",60,NIO76.86,NIO97.00,01 abr 2028,BISUTERIA
5467547000000287845,ES007,"Paleta Sombra, Blush y Iluminador Moly Coco",120,NIO57.10,NIO72.00,01 ene 2026,BISUTERIA
5467547000000287554,628F,"Paleta Sombra, Blush, Iluminador, Glitter Tutu Time",120,NIO74.66,NIO94.00,25 mar 2029,BISUTERIA
5467547000000287942,OTS018,"Paleta Sombra, Contorno y Blush Overture",239,NIO41.28,NIO52.00,01 jul 2027,BISUTERIA
5467547000000331697,MM-048,Parche Para Ojos De Colágeno,"9,326",NIO4.00,NIO5.00,01 ago 2025,VB
5467547000000339069,046-U325127,Parches de Gel Para Ojos Carbón Beauty Formula 6UND,128,NIO67.00,NIO78.82,01 dic 2025,Mayz
5467547000000335383,DE8036,Parches Para Labios,"1,508",NIO5.00,NIO5.88,01 ene 2028,VB
5467547000000335286,DE8035,Parches Para Ojos,"1,428",NIO5.00,NIO5.88,01 ene 2028,VB
5467547000000328593,JS-1228,Pegamento para Pestañas,218,NIO7.00,NIO8.24,01 dic 2025,VB
5467547000000330048,BX3600,Pegamento Para Uñas,624,NIO9.00,NIO10.59,01 dic 2025,VB
5467547000000328302,BX-3503,Perfiladora De Ceja,764,NIO14.00,NIO16.47,01 ene 2029,VB
5467547000000295514,B518-1,Perfume 2i2 Red 100ml,14,NIO56.00,NIO65.88,01 ago 2028,VB
5467547000000647037,OLU938-5,Perfume 2i2 VIP Men,210,NIO48.00,NIO59.00,,VB
5467547000000291339,OLU938-20,Perfume Amour Amour para mujer 100ml,12,NIO48.00,NIO59.00,,VB
5467547000000309579,B9,Perfume Aventus Creed 100ml,90,NIO120.00,NIO141.18,,VB
5467547000000550352,B853,Perfume Boos The Scent Brown 100ml,86,NIO75.00,NIO89.00,,VB
5467547000000337226,OLU938-10,Perfume Bozzs para hombre 100ml,22,NIO48.00,NIO59.00,,VB
5467547000000647010,OLU938-30,Perfume Disell,60,NIO59.00,NIO59.00,,VB
5467547000000648153,B693,Perfume Giiq,71,NIO72.00,NIO72.00,,VB
5467547000000291632,OLU938-54,Perfume Hello Man 2i2 100ml,12,NIO48.00,NIO59.00,,VB
5467547000000647055,B926,Perfume I Can,36,NIO72.00,NIO85.00,,VB
5467547000000291826,OLU938-21,Perfume IEAU DISSAY para hombre 100ml,63,NIO48.00,NIO59.00,,VB
5467547000000307930,B721-2,Perfume Invictus Aqua 100ml,124,NIO90.00,NIO109.00,,VB
5467547000000307833,B721-4,Perfume Invictus Blue 100ml,122,NIO90.00,NIO109.00,,VB
5467547000000648076,B721,Perfume Invictus Gris,120,NIO99.00,NIO109.00,,VB
5467547000000648067,B721-3,Perfume Invictus Negro,120,NIO90.00,NIO109.00,,VB
5467547000000647046,OLU938-57,Perfume Invictus V,222,NIO59.00,NIO59.00,,VB
5467547000000647001,OLU938-23,Perfume King of Seduction,72,NIO59.00,NIO59.00,,VB
5467547000000337032,OLU938-1,Perfume Legend para hombre 100ml,119,NIO48.00,NIO59.00,,VB
5467547000000321609,OLU988-1,Perfume niña science,24,NIO36.00,NIO42.35,,VB
5467547000000307736,B949-1,Perfume Oud Wood para hombre 100ml,234,NIO75.00,NIO88.24,01 sep 2028,VB
5467547000000291729,OLU938-53,Perfume Swis Amy para mujer 100ml,16,NIO48.00,NIO59.00,,VB
5467547000000309385,B36,Perfume Tom Ford Fabulous 100ml,48,NIO110.00,NIO129.41,,VB
5467547000000309191,B38,Perfume Tom Ford Fkg. fabulous 100ml,49,NIO110.00,NIO129.41,,VB
5467547000000309288,B37,Perfume Tom Ford Oud wood 100ml,48,NIO110.00,NIO129.41,,VB
5467547000000309482,B35,Perfume Tom Ford Tuscan Leather 100ml,22,NIO110.00,NIO129.41,,VB
5467547000000331309,OLU909-113,Perfume Tubular 212 Sexy Man,47,NIO18.00,NIO21.18,,VB
5467547000000331212,OLU909-2,Perfume Tubular Billion Men,71,NIO18.00,NIO21.18,,VB
5467547000000331115,OLU909-31,Perfume Tubular Blue De Chenale,72,NIO18.00,NIO21.18,,VB
5467547000000331018,OLU909-50,Perfume Tubular Boos,23,NIO18.00,NIO21.18,,VB
5467547000000330921,OLU909-91,Perfume Tubular Invictus,47,NIO18.00,NIO21.18,,VB
5467547000000330824,OLU909-171,Perfume Tubular Invictus V,72,NIO18.00,NIO21.18,,VB
5467547000000330727,OLU909-112,Perfume Tubular Mome Blang,141,NIO18.00,NIO21.18,,VB
5467547000000330630,OLU909-81,Perfume Tubular Swiss Army,48,NIO18.00,NIO21.18,,VB
5467547000000318990,JM-599,Pestañas 1 pcs Nooralazawi hechas a mano 3D,146,NIO10.00,NIO11.76,01 ene 2026,VB
5467547000000318893,JM-603,Pestañas 1pcs Nooralazawi hechas a mano 5D,104,NIO10.00,NIO11.76,01 ene 2026,VB
5467547000000318796,JM-570,Pestañas 1pcs Nooralazawi Nudes 3D,196,NIO10.00,NIO11.76,01 ene 2026,VB
5467547000000334316,JM-4119,Pestañas 2pcs 3D,720,NIO15.00,NIO17.65,01 ene 2026,VB
5467547000000332861,JM4010,Pestañas 3pcs,51,NIO22.00,NIO25.88,01 ene 2026,VB
5467547000000331406,JM-544,Pestañas Postizas 8mm,408,NIO20.00,NIO23.53,01 ene 2026,VB
